data,sku,categoria,regime_verdadeiro,unidades,preco,flag_promocao,temperatura_media
2023-03-27,SKU_00,bebidas,smooth,136.0,7.88,0,30.4
2023-03-28,SKU_00,bebidas,smooth,200.0,8.46,0,28.5
2023-03-29,SKU_00,bebidas,smooth,112.0,7.98,0,29.5
2023-03-30,SKU_00,bebidas,smooth,137.0,8.31,0,30.5
2023-03-31,SKU_00,bebidas,smooth,148.0,7.96,0,30.5
2023-04-01,SKU_00,bebidas,smooth,97.0,8.05,0,30.9
2023-04-02,SKU_00,bebidas,smooth,209.0,7.74,0,29.4
2023-04-03,SKU_00,bebidas,smooth,178.0,7.91,0,28.8
2023-04-04,SKU_00,bebidas,smooth,166.0,8.04,0,29.5
2023-04-05,SKU_00,bebidas,smooth,225.0,8.32,0,26.4
2023-04-06,SKU_00,bebidas,smooth,0.0,8.04,0,26.9
2023-04-07,SKU_00,bebidas,smooth,62.0,8.28,0,27.1
2023-04-08,SKU_00,bebidas,smooth,80.0,8.13,0,27.8
2023-04-09,SKU_00,bebidas,smooth,199.0,8.33,0,30.6
2023-04-10,SKU_00,bebidas,smooth,183.0,7.99,0,28.1
2023-04-11,SKU_00,bebidas,smooth,115.0,8.48,0,29.1
2023-04-12,SKU_00,bebidas,smooth,150.0,7.9,0,32.5
2023-04-13,SKU_00,bebidas,smooth,147.0,7.85,0,29.2
2023-04-14,SKU_00,bebidas,smooth,95.0,7.76,0,31.4
2023-04-15,SKU_00,bebidas,smooth,69.0,8.47,0,28.1
2023-04-16,SKU_00,bebidas,smooth,146.0,8.16,0,29.6
2023-04-17,SKU_00,bebidas,smooth,139.0,7.93,0,28.1
2023-04-18,SKU_00,bebidas,smooth,205.0,8.25,0,29.3
2023-04-19,SKU_00,bebidas,smooth,215.0,8.14,0,31.7
2023-04-20,SKU_00,bebidas,smooth,155.0,8.39,0,26.5
2023-04-21,SKU_00,bebidas,smooth,93.0,7.69,0,30.9
2023-04-22,SKU_00,bebidas,smooth,153.0,6.75,1,30.5
2023-04-23,SKU_00,bebidas,smooth,137.0,7.91,0,28.8
2023-04-24,SKU_00,bebidas,smooth,122.0,7.61,0,27.1
2023-04-25,SKU_00,bebidas,smooth,136.0,8.21,0,30.1
2023-04-26,SKU_00,bebidas,smooth,143.0,7.95,0,28.9
2023-04-27,SKU_00,bebidas,smooth,129.0,8.15,0,30.4
2023-04-28,SKU_00,bebidas,smooth,105.0,8.47,0,30.0
2023-04-29,SKU_00,bebidas,smooth,128.0,7.93,0,33.2
2023-04-30,SKU_00,bebidas,smooth,114.0,7.92,0,29.5
2023-05-01,SKU_00,bebidas,smooth,165.0,8.02,0,27.9
2023-05-02,SKU_00,bebidas,smooth,162.0,8.2,0,30.3
2023-05-03,SKU_00,bebidas,smooth,186.0,7.89,0,30.3
2023-05-04,SKU_00,bebidas,smooth,177.0,7.87,0,32.6
2023-05-05,SKU_00,bebidas,smooth,73.0,8.21,0,31.5
2023-05-06,SKU_00,bebidas,smooth,75.0,8.08,0,30.5
2023-05-07,SKU_00,bebidas,smooth,179.0,7.59,0,32.7
2023-05-08,SKU_00,bebidas,smooth,209.0,7.75,0,27.4
2023-05-09,SKU_00,bebidas,smooth,0.0,8.3,0,28.5
2023-05-10,SKU_00,bebidas,smooth,177.0,8.08,0,27.9
2023-05-11,SKU_00,bebidas,smooth,222.0,7.85,0,28.9
2023-05-12,SKU_00,bebidas,smooth,91.0,7.97,0,26.9
2023-05-13,SKU_00,bebidas,smooth,116.0,8.0,0,30.9
2023-05-14,SKU_00,bebidas,smooth,139.0,8.15,0,29.1
2023-05-15,SKU_00,bebidas,smooth,154.0,7.73,0,26.6
2023-05-16,SKU_00,bebidas,smooth,107.0,7.83,0,27.5
2023-05-17,SKU_00,bebidas,smooth,94.0,8.05,0,30.1
2023-05-18,SKU_00,bebidas,smooth,215.0,7.98,0,31.1
2023-05-19,SKU_00,bebidas,smooth,82.0,8.11,0,33.4
2023-05-20,SKU_00,bebidas,smooth,97.0,7.75,0,35.2
2023-05-21,SKU_00,bebidas,smooth,119.0,8.07,0,30.1
2023-05-22,SKU_00,bebidas,smooth,112.0,8.22,0,27.3
2023-05-23,SKU_00,bebidas,smooth,210.0,6.9,1,24.9
2023-05-24,SKU_00,bebidas,smooth,138.0,8.03,0,29.7
2023-05-25,SKU_00,bebidas,smooth,173.0,7.98,0,27.4
2023-05-26,SKU_00,bebidas,smooth,106.0,7.83,0,28.2
2023-05-27,SKU_00,bebidas,smooth,101.0,7.99,0,27.7
2023-05-28,SKU_00,bebidas,smooth,171.0,8.25,0,28.6
2023-05-29,SKU_00,bebidas,smooth,248.0,7.98,0,31.0
2023-05-30,SKU_00,bebidas,smooth,125.0,7.82,0,29.1
2023-05-31,SKU_00,bebidas,smooth,158.0,7.9,0,28.4
2023-06-01,SKU_00,bebidas,smooth,203.0,8.04,0,26.6
2023-06-02,SKU_00,bebidas,smooth,121.0,7.93,0,25.2
2023-06-03,SKU_00,bebidas,smooth,65.0,8.1,0,27.5
2023-06-04,SKU_00,bebidas,smooth,147.0,8.1,0,28.3
2023-06-05,SKU_00,bebidas,smooth,236.0,8.18,0,31.9
2023-06-06,SKU_00,bebidas,smooth,0.0,7.08,1,28.6
2023-06-07,SKU_00,bebidas,smooth,171.0,8.2,0,30.2
2023-06-08,SKU_00,bebidas,smooth,146.0,7.81,0,27.2
2023-06-09,SKU_00,bebidas,smooth,81.0,7.82,0,25.7
2023-06-10,SKU_00,bebidas,smooth,95.0,7.98,0,26.1
2023-06-11,SKU_00,bebidas,smooth,142.0,7.91,0,26.5
2023-06-12,SKU_00,bebidas,smooth,165.0,7.77,0,32.1
2023-06-13,SKU_00,bebidas,smooth,152.0,7.91,0,26.1
2023-06-14,SKU_00,bebidas,smooth,134.0,7.91,0,29.4
2023-06-15,SKU_00,bebidas,smooth,0.0,7.87,0,25.8
2023-06-16,SKU_00,bebidas,smooth,191.0,7.94,0,29.4
2023-06-17,SKU_00,bebidas,smooth,59.0,8.24,0,28.2
2023-06-18,SKU_00,bebidas,smooth,163.0,8.04,0,27.0
2023-06-19,SKU_00,bebidas,smooth,125.0,8.49,0,27.2
2023-06-20,SKU_00,bebidas,smooth,169.0,8.03,0,25.9
2023-06-21,SKU_00,bebidas,smooth,154.0,7.94,0,28.0
2023-06-22,SKU_00,bebidas,smooth,177.0,8.0,0,26.1
2023-06-23,SKU_00,bebidas,smooth,112.0,8.05,0,24.5
2023-06-24,SKU_00,bebidas,smooth,88.0,8.09,0,24.3
2023-06-25,SKU_00,bebidas,smooth,197.0,8.42,0,27.1
2023-06-26,SKU_00,bebidas,smooth,87.0,7.83,0,29.8
2023-06-27,SKU_00,bebidas,smooth,218.0,8.17,0,26.9
2023-06-28,SKU_00,bebidas,smooth,159.0,8.04,0,26.2
2023-06-29,SKU_00,bebidas,smooth,192.0,7.69,0,26.9
2023-06-30,SKU_00,bebidas,smooth,66.0,8.15,0,28.9
2023-07-01,SKU_00,bebidas,smooth,70.0,8.25,0,26.6
2023-07-02,SKU_00,bebidas,smooth,147.0,7.83,0,25.3
2023-07-03,SKU_00,bebidas,smooth,149.0,8.0,0,28.2
2023-07-04,SKU_00,bebidas,smooth,155.0,7.65,0,26.7
2023-07-05,SKU_00,bebidas,smooth,196.0,7.75,0,28.9
2023-07-06,SKU_00,bebidas,smooth,92.0,8.21,0,26.0
2023-07-07,SKU_00,bebidas,smooth,100.0,7.91,0,23.1
2023-07-08,SKU_00,bebidas,smooth,78.0,7.78,0,22.7
2023-07-09,SKU_00,bebidas,smooth,141.0,8.05,0,28.7
2023-07-10,SKU_00,bebidas,smooth,103.0,7.9,0,28.7
2023-07-11,SKU_00,bebidas,smooth,156.0,7.91,0,24.8
2023-07-12,SKU_00,bebidas,smooth,75.0,8.15,0,24.3
2023-07-13,SKU_00,bebidas,smooth,170.0,7.77,0,27.9
2023-07-14,SKU_00,bebidas,smooth,54.0,7.82,0,22.7
2023-07-15,SKU_00,bebidas,smooth,79.0,8.03,0,23.0
2023-07-16,SKU_00,bebidas,smooth,134.0,8.19,0,26.0
2023-07-17,SKU_00,bebidas,smooth,177.0,8.25,0,23.8
2023-07-18,SKU_00,bebidas,smooth,128.0,7.87,0,24.5
2023-07-19,SKU_00,bebidas,smooth,112.0,8.19,0,24.0
2023-07-20,SKU_00,bebidas,smooth,119.0,7.84,0,24.9
2023-07-21,SKU_00,bebidas,smooth,114.0,8.37,0,27.0
2023-07-22,SKU_00,bebidas,smooth,90.0,7.77,0,24.2
2023-07-23,SKU_00,bebidas,smooth,122.0,8.27,0,25.2
2023-07-24,SKU_00,bebidas,smooth,114.0,7.87,0,19.7
2023-07-25,SKU_00,bebidas,smooth,89.0,8.4,0,23.6
2023-07-26,SKU_00,bebidas,smooth,138.0,8.12,0,22.0
2023-07-27,SKU_00,bebidas,smooth,79.0,7.8,0,21.1
2023-07-28,SKU_00,bebidas,smooth,88.0,7.9,0,21.7
2023-07-29,SKU_00,bebidas,smooth,77.0,8.16,0,22.7
2023-07-30,SKU_00,bebidas,smooth,0.0,8.21,0,25.1
2023-07-31,SKU_00,bebidas,smooth,132.0,6.79,1,20.5
2023-08-01,SKU_00,bebidas,smooth,124.0,8.01,0,23.1
2023-08-02,SKU_00,bebidas,smooth,192.0,8.15,0,22.0
2023-08-03,SKU_00,bebidas,smooth,166.0,8.03,0,22.2
2023-08-04,SKU_00,bebidas,smooth,65.0,7.74,0,24.7
2023-08-05,SKU_00,bebidas,smooth,80.0,7.84,0,23.7
2023-08-06,SKU_00,bebidas,smooth,131.0,8.05,0,25.2
2023-08-07,SKU_00,bebidas,smooth,131.0,8.24,0,22.1
2023-08-08,SKU_00,bebidas,smooth,101.0,8.32,0,20.9
2023-08-09,SKU_00,bebidas,smooth,119.0,8.16,0,21.8
2023-08-10,SKU_00,bebidas,smooth,83.0,8.06,0,22.6
2023-08-11,SKU_00,bebidas,smooth,75.0,8.15,0,22.4
2023-08-12,SKU_00,bebidas,smooth,76.0,7.87,0,19.8
2023-08-13,SKU_00,bebidas,smooth,114.0,7.97,0,22.0
2023-08-14,SKU_00,bebidas,smooth,81.0,7.84,0,22.2
2023-08-15,SKU_00,bebidas,smooth,169.0,7.75,0,26.7
2023-08-16,SKU_00,bebidas,smooth,204.0,6.87,1,25.3
2023-08-17,SKU_00,bebidas,smooth,95.0,8.04,0,19.7
2023-08-18,SKU_00,bebidas,smooth,65.0,8.14,0,20.8
2023-08-19,SKU_00,bebidas,smooth,45.0,8.11,0,18.3
2023-08-20,SKU_00,bebidas,smooth,89.0,8.05,0,20.0
2023-08-21,SKU_00,bebidas,smooth,104.0,8.11,0,21.7
2023-08-22,SKU_00,bebidas,smooth,166.0,7.99,0,23.4
2023-08-23,SKU_00,bebidas,smooth,97.0,8.08,0,19.4
2023-08-24,SKU_00,bebidas,smooth,132.0,7.85,0,19.5
2023-08-25,SKU_00,bebidas,smooth,54.0,8.07,0,16.4
2023-08-26,SKU_00,bebidas,smooth,104.0,6.93,1,20.3
2023-08-27,SKU_00,bebidas,smooth,106.0,7.87,0,18.4
2023-08-28,SKU_00,bebidas,smooth,138.0,8.01,0,19.4
2023-08-29,SKU_00,bebidas,smooth,140.0,6.68,1,18.6
2023-08-30,SKU_00,bebidas,smooth,77.0,7.89,0,20.1
2023-08-31,SKU_00,bebidas,smooth,74.0,7.78,0,16.7
2023-09-01,SKU_00,bebidas,smooth,55.0,8.25,0,17.2
2023-09-02,SKU_00,bebidas,smooth,53.0,8.21,0,24.3
2023-09-03,SKU_00,bebidas,smooth,117.0,8.11,0,17.4
2023-09-04,SKU_00,bebidas,smooth,96.0,8.39,0,17.7
2023-09-05,SKU_00,bebidas,smooth,217.0,7.96,0,23.5
2023-09-06,SKU_00,bebidas,smooth,82.0,8.61,0,25.6
2023-09-07,SKU_00,bebidas,smooth,111.0,7.95,0,17.4
2023-09-08,SKU_00,bebidas,smooth,49.0,8.05,0,18.9
2023-09-09,SKU_00,bebidas,smooth,59.0,7.92,0,20.2
2023-09-10,SKU_00,bebidas,smooth,124.0,8.07,0,22.9
2023-09-11,SKU_00,bebidas,smooth,59.0,8.17,0,17.4
2023-09-12,SKU_00,bebidas,smooth,115.0,7.98,0,18.9
2023-09-13,SKU_00,bebidas,smooth,181.0,8.36,0,20.8
2023-09-14,SKU_00,bebidas,smooth,100.0,8.05,0,20.1
2023-09-15,SKU_00,bebidas,smooth,68.0,8.05,0,18.4
2023-09-16,SKU_00,bebidas,smooth,120.0,6.62,1,18.8
2023-09-17,SKU_00,bebidas,smooth,98.0,8.08,0,16.3
2023-09-18,SKU_00,bebidas,smooth,94.0,7.97,0,18.5
2023-09-19,SKU_00,bebidas,smooth,61.0,7.88,0,18.4
2023-09-20,SKU_00,bebidas,smooth,128.0,7.84,0,19.3
2023-09-21,SKU_00,bebidas,smooth,103.0,8.53,0,17.7
2023-09-22,SKU_00,bebidas,smooth,51.0,7.95,0,19.7
2023-09-23,SKU_00,bebidas,smooth,69.0,7.71,0,20.7
2023-09-24,SKU_00,bebidas,smooth,94.0,7.86,0,19.0
2023-09-25,SKU_00,bebidas,smooth,96.0,7.99,0,19.3
2023-09-26,SKU_00,bebidas,smooth,125.0,8.11,0,18.7
2023-09-27,SKU_00,bebidas,smooth,78.0,8.11,0,18.5
2023-09-28,SKU_00,bebidas,smooth,135.0,8.14,0,17.1
2023-09-29,SKU_00,bebidas,smooth,46.0,7.87,0,19.1
2023-09-30,SKU_00,bebidas,smooth,54.0,8.07,0,18.2
2023-10-01,SKU_00,bebidas,smooth,189.0,7.82,0,22.6
2023-10-02,SKU_00,bebidas,smooth,151.0,7.88,0,21.5
2023-10-03,SKU_00,bebidas,smooth,112.0,7.82,0,19.1
2023-10-04,SKU_00,bebidas,smooth,82.0,7.76,0,16.8
2023-10-05,SKU_00,bebidas,smooth,89.0,8.21,0,16.0
2023-10-06,SKU_00,bebidas,smooth,68.0,8.14,0,20.6
2023-10-07,SKU_00,bebidas,smooth,65.0,8.2,0,18.7
2023-10-08,SKU_00,bebidas,smooth,107.0,8.01,0,19.1
2023-10-09,SKU_00,bebidas,smooth,98.0,8.16,0,14.7
2023-10-10,SKU_00,bebidas,smooth,106.0,7.65,0,20.0
2023-10-11,SKU_00,bebidas,smooth,77.0,8.17,0,19.0
2023-10-12,SKU_00,bebidas,smooth,130.0,6.84,1,15.9
2023-10-13,SKU_00,bebidas,smooth,78.0,8.13,0,17.1
2023-10-14,SKU_00,bebidas,smooth,46.0,8.08,0,18.6
2023-10-15,SKU_00,bebidas,smooth,103.0,7.8,0,18.1
2023-10-16,SKU_00,bebidas,smooth,87.0,7.7,0,17.4
2023-10-17,SKU_00,bebidas,smooth,111.0,7.86,0,17.8
2023-10-18,SKU_00,bebidas,smooth,97.0,8.11,0,17.5
2023-10-19,SKU_00,bebidas,smooth,156.0,8.14,0,18.3
2023-10-20,SKU_00,bebidas,smooth,77.0,7.73,0,20.9
2023-10-21,SKU_00,bebidas,smooth,41.0,7.8,0,12.9
2023-10-22,SKU_00,bebidas,smooth,126.0,7.86,0,17.5
2023-10-23,SKU_00,bebidas,smooth,91.0,7.93,0,18.4
2023-10-24,SKU_00,bebidas,smooth,96.0,7.73,0,18.6
2023-10-25,SKU_00,bebidas,smooth,115.0,7.72,0,17.3
2023-10-26,SKU_00,bebidas,smooth,89.0,7.84,0,14.5
2023-10-27,SKU_00,bebidas,smooth,81.0,8.02,0,18.7
2023-10-28,SKU_00,bebidas,smooth,58.0,7.76,0,21.5
2023-10-29,SKU_00,bebidas,smooth,88.0,7.98,0,15.0
2023-10-30,SKU_00,bebidas,smooth,97.0,8.21,0,19.8
2023-10-31,SKU_00,bebidas,smooth,95.0,7.74,0,17.4
2023-11-01,SKU_00,bebidas,smooth,145.0,7.96,0,18.0
2023-11-02,SKU_00,bebidas,smooth,123.0,8.2,0,16.0
2023-11-03,SKU_00,bebidas,smooth,98.0,7.92,0,17.5
2023-11-04,SKU_00,bebidas,smooth,122.0,7.89,0,20.8
2023-11-05,SKU_00,bebidas,smooth,129.0,7.03,1,19.3
2023-11-06,SKU_00,bebidas,smooth,122.0,7.94,0,21.7
2023-11-07,SKU_00,bebidas,smooth,89.0,8.22,0,20.6
2023-11-08,SKU_00,bebidas,smooth,95.0,8.09,0,19.1
2023-11-09,SKU_00,bebidas,smooth,104.0,7.93,0,21.8
2023-11-10,SKU_00,bebidas,smooth,53.0,8.1,0,19.2
2023-11-11,SKU_00,bebidas,smooth,53.0,8.06,0,20.0
2023-11-12,SKU_00,bebidas,smooth,108.0,8.2,0,17.8
2023-11-13,SKU_00,bebidas,smooth,85.0,7.89,0,18.6
2023-11-14,SKU_00,bebidas,smooth,136.0,8.01,0,17.1
2023-11-15,SKU_00,bebidas,smooth,96.0,7.99,0,20.5
2023-11-16,SKU_00,bebidas,smooth,218.0,8.14,0,16.2
2023-11-17,SKU_00,bebidas,smooth,63.0,7.79,0,20.2
2023-11-18,SKU_00,bebidas,smooth,69.0,8.2,0,18.3
2023-11-19,SKU_00,bebidas,smooth,89.0,8.09,0,21.0
2023-11-20,SKU_00,bebidas,smooth,184.0,7.74,0,20.2
2023-11-21,SKU_00,bebidas,smooth,167.0,8.24,0,22.4
2023-11-22,SKU_00,bebidas,smooth,131.0,8.45,0,20.3
2023-11-23,SKU_00,bebidas,smooth,79.0,8.2,0,15.8
2023-11-24,SKU_00,bebidas,smooth,74.0,8.29,0,18.8
2023-11-25,SKU_00,bebidas,smooth,50.0,8.02,0,16.7
2023-11-26,SKU_00,bebidas,smooth,168.0,7.67,0,18.0
2023-11-27,SKU_00,bebidas,smooth,156.0,7.63,0,22.2
2023-11-28,SKU_00,bebidas,smooth,127.0,8.05,0,20.5
2023-11-29,SKU_00,bebidas,smooth,64.0,7.88,0,17.9
2023-11-30,SKU_00,bebidas,smooth,91.0,7.82,0,17.3
2023-12-01,SKU_00,bebidas,smooth,86.0,7.99,0,19.4
2023-12-02,SKU_00,bebidas,smooth,92.0,8.12,0,17.0
2023-12-03,SKU_00,bebidas,smooth,157.0,7.71,0,18.2
2023-12-04,SKU_00,bebidas,smooth,84.0,7.91,0,20.2
2023-12-05,SKU_00,bebidas,smooth,140.0,8.3,0,22.0
2023-12-06,SKU_00,bebidas,smooth,0.0,7.78,0,20.9
2023-12-07,SKU_00,bebidas,smooth,109.0,6.97,1,15.2
2023-12-08,SKU_00,bebidas,smooth,75.0,7.9,0,20.5
2023-12-09,SKU_00,bebidas,smooth,80.0,8.11,0,20.1
2023-12-10,SKU_00,bebidas,smooth,120.0,8.22,0,20.9
2023-12-11,SKU_00,bebidas,smooth,86.0,8.15,0,23.3
2023-12-12,SKU_00,bebidas,smooth,108.0,8.18,0,16.1
2023-12-13,SKU_00,bebidas,smooth,116.0,7.77,0,19.1
2023-12-14,SKU_00,bebidas,smooth,128.0,8.22,0,21.5
2023-12-15,SKU_00,bebidas,smooth,62.0,7.83,0,17.3
2023-12-16,SKU_00,bebidas,smooth,73.0,8.05,0,23.5
2023-12-17,SKU_00,bebidas,smooth,132.0,8.05,0,21.3
2023-12-18,SKU_00,bebidas,smooth,152.0,8.1,0,22.4
2023-12-19,SKU_00,bebidas,smooth,120.0,8.07,0,19.6
2023-12-20,SKU_00,bebidas,smooth,124.0,7.83,0,22.5
2023-12-21,SKU_00,bebidas,smooth,143.0,7.73,0,23.1
2023-12-22,SKU_00,bebidas,smooth,72.0,6.97,1,21.5
2023-12-23,SKU_00,bebidas,smooth,91.0,8.04,0,21.6
2023-12-24,SKU_00,bebidas,smooth,137.0,8.23,0,21.8
2023-12-25,SKU_00,bebidas,smooth,132.0,7.99,0,19.6
2023-12-26,SKU_00,bebidas,smooth,173.0,7.72,0,21.1
2023-12-27,SKU_00,bebidas,smooth,84.0,8.19,0,21.2
2023-12-28,SKU_00,bebidas,smooth,86.0,7.93,0,22.4
2023-12-29,SKU_00,bebidas,smooth,92.0,8.07,0,23.7
2023-12-30,SKU_00,bebidas,smooth,79.0,7.87,0,19.7
2023-12-31,SKU_00,bebidas,smooth,146.0,8.33,0,21.6
2024-01-01,SKU_00,bebidas,smooth,134.0,7.82,0,24.9
2024-01-02,SKU_00,bebidas,smooth,162.0,7.93,0,20.6
2024-01-03,SKU_00,bebidas,smooth,173.0,8.02,0,20.5
2024-01-04,SKU_00,bebidas,smooth,163.0,7.78,0,22.7
2024-01-05,SKU_00,bebidas,smooth,82.0,8.07,0,24.1
2024-01-06,SKU_00,bebidas,smooth,51.0,8.32,0,22.5
2024-01-07,SKU_00,bebidas,smooth,185.0,7.9,0,25.2
2024-01-08,SKU_00,bebidas,smooth,204.0,8.08,0,24.4
2024-01-09,SKU_00,bebidas,smooth,178.0,7.45,0,24.5
2024-01-10,SKU_00,bebidas,smooth,121.0,7.99,0,24.0
2024-01-11,SKU_00,bebidas,smooth,191.0,7.94,0,27.6
2024-01-12,SKU_00,bebidas,smooth,108.0,7.84,0,22.7
2024-01-13,SKU_00,bebidas,smooth,119.0,8.22,0,19.2
2024-01-14,SKU_00,bebidas,smooth,188.0,6.73,1,26.5
2024-01-15,SKU_00,bebidas,smooth,140.0,7.96,0,22.5
2024-01-16,SKU_00,bebidas,smooth,183.0,7.92,0,23.7
2024-01-17,SKU_00,bebidas,smooth,163.0,7.62,0,26.2
2024-01-18,SKU_00,bebidas,smooth,109.0,7.77,0,20.5
2024-01-19,SKU_00,bebidas,smooth,96.0,8.19,0,21.3
2024-01-20,SKU_00,bebidas,smooth,99.0,7.58,0,20.7
2024-01-21,SKU_00,bebidas,smooth,154.0,7.85,0,22.4
